id,jurisdiction__name,jurisdiction_id,court__name_abbreviation,court_id,reporter__full_name,reporter_id,label,date,degree_from_slave_case,cites,cites_short_name,target,slave_state
2547193,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"The People of the State of New York, Respondent, v. Edward E. Britton and Frederick H. Schroeder, Appellants",1909,2,33 Md. 558,Lester v. Howard Bank,1770535,0
7674670,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,PEOPLE v. BRITTON et al.,1909,2,33 Md. 558,Lester v. Howard Bank,1770535,0
810754,N.Y.,1,N.Y.,24653,New York Criminal Reports,143,THE PEOPLE v. JOHN BAROBUTO,1909,2,33 Md. 558,Lester v. Howard Bank,1770535,0
4462562,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. John Barobuto, Appellant",1909,2,33 Md. 558,Lester v. Howard Bank,1770535,0
4462638,N.Y.,1,N.Y.,24653,New York Reports,20,"Title Guarantee and Trust Company, Appellant, v. Fanny A. Haven et al., Respondents. (Action No. 1.); Title Guarantee and Trust Company, Appellant, v. Fanny A. Haven et al., Respondents. (Action No. 2.)",1909,2,39 Ohio St. 554,Morris v. Williams,914185,0
57989,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Earl Hill, Appellant",1910,2,87 N.Y. 110,Argall v. Jacobs,549478,0
810794,N.Y.,1,N.Y.,24653,New York Criminal Reports,143,THE PEOPLE v. EARL HILL,1910,2,87 N.Y. 110,Argall v. Jacobs,549478,0
58108,N.Y.,1,N.Y.,24653,New York Reports,20,"William Lightfoot, Appellant, v. Fitch M. Davis, as Administrator with the Will Annexed of the Estate of William Bowen, Deceased, Respondent",1910,2,25 Fla. 853,Coogler v. Rogers,1144520,0
2513022,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Anne Lynott, Respondent, v. Dane A. Pearson, Appellant",1910,2,2 S.D. 577,Albright v. Smith,4511522,0
7670051,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,LYNOTT v. PEARSON,1910,2,2 S.D. 577,Albright v. Smith,4511522,0
1196807,N.Y.,1,N.Y. App. Div.,8994,New York Criminal Reports,143,THE PEOPLE v. GUISEPPE ADROGNA,1910,2,174 Pa. 443,Brown v. German-American Title & Trust Co.,878702,0
2512323,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"The People of the State of New York, Respondent, v. Guiseppe Adrogna, Appellant",1910,2,174 Pa. 443,Brown v. German-American Title & Trust Co.,878702,0
7658289,N.Y.,1,N.Y. App. Div.,8994,West's New York Supplement,89,PEOPLE v. ADROGNA,1910,2,174 Pa. 443,Brown v. German-American Title & Trust Co.,878702,0
2518816,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Onondaga County, Respondent, v. City of Amsterdam, Appellant",1910,2,160 N.Y. 453,People ex rel. May v. Maynard,33937,0
